date,count(1)
2018-09-16,156
2018-08-26,264
2018-09-28,71
2018-06-02,176
2018-06-19,9
2018-07-02,439
2018-07-31,227
2018-08-09,55
2018-09-30,33
2018-09-01,56
2018-09-10,136
2018-05-18,17
2018-05-31,101
2018-07-04,300
2018-08-15,224
2018-07-25,171
2018-08-11,248
2018-07-29,236
2018-06-30,191
2018-06-21,244
2018-06-04,138
2018-08-28,141
2018-09-14,98
2018-07-27,221
2018-08-13,153
2018-06-15,76
2018-07-06,255
2018-05-29,93
2018-05-20,115
2018-09-12,70
2018-08-30,230
2018-10-02,55
2018-06-12,198
2018-05-22,131
2018-09-06,187
2018-09-18,169
2018-08-20,42
2018-07-21,100
2018-08-03,87
2018-06-29,227
2018-07-08,188
2018-05-28,80
2018-06-06,68
2018-08-22,200
2018-09-24,33
2018-09-04,67
2018-08-05,178
2018-07-19,158
2018-07-14,188
2018-07-10,155
2018-06-27,150
2018-08-01,205
2018-07-23,155
2018-08-18,193
2018-09-20,70
2018-09-08,72
2018-06-10,132
2018-06-25,199
2018-07-12,125
2018-07-17,197
2018-08-07,300
2018-09-02,127
2018-08-24,111
2018-06-08,125
2018-05-26,83
2018-06-20,212
2018-07-28,179
2018-08-12,213
2018-09-15,94
2018-08-27,162
2018-06-05,139
2018-07-07,205
2018-06-14,46
2018-08-14,265
2018-07-26,217
2018-08-29,206
2018-09-13,53
2018-05-19,130
2018-05-30,47
2018-06-03,35
2018-09-29,56
2018-08-25,184
2018-09-17,149
2018-08-10,134
2018-07-30,130
2018-07-03,401
2018-06-01,10
2018-09-11,27
2018-08-31,167
2018-07-24,189
2018-08-16,179
2018-06-16,69
2018-07-05,130
2018-07-22,149
2018-08-02,132
2018-06-26,149
2018-07-11,92
2018-06-11,142
2018-05-23,24
2018-09-09,141
2018-09-21,152
2018-08-17,216
2018-08-08,346
2018-07-16,62
2018-07-13,206
2018-06-24,130
2018-05-25,121
2018-06-09,117
2018-08-23,216
2018-09-03,145
2018-08-19,159
2018-09-19,124
2018-09-07,149
2018-05-21,119
2018-06-13,74
2018-07-09,272
2018-06-28,81
2018-08-04,220
2018-07-20,118
2018-09-25,12
2018-08-21,86
2018-06-07,48
2018-05-27,184
2018-06-22,164
2018-07-15,257
2018-07-18,214
2018-08-06,92
